ip,type,is_cidr,sources,source_count,category,confidence,first_seen,last_seen
1.0.164.165,ipv4,False,Blocklist.de (all)|Blocklist.de (ssh)|RTBH (Turkiye)|Stamparm IPsum,4,attacker,80,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.0.194.20,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.0.216.232,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.0.230.154,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.1.2.34,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.1.242.160,ipv4,False,BinaryDefense,1,attacker,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.1.249.7,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.10.16.0/20,ipv4,True,Spamhaus DROP,1,infrastructure,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.10.204.28,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.10.214.70,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.10.219.91,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.10.222.100,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.10.245.72,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.10.247.82,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.117.165.141,ipv4,False,SGB (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.117.171.170,ipv4,False,CINS Army|RTBH (Turkiye)|Stamparm IPsum,3,scanner,60,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.117.59.169,ipv4,False,RTBH (Turkiye),1,government-feed,20,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
1.117.72.220,ipv4,False,RTBH (Turkiye)|Stamparm IPsum,2,government-feed,40,2026-09-26T19:52:03.517918+00:00,2026-09-26T19:52:03.517918+00:00
